 (1.395, 0.166, 0.407) &  0.136 $\pm$ 0.027 & 0.2061 $\pm$ 0.0092 & 0.6595 $\pm$ 0.1361 & 0.2050 & 0.6634 & -0.0039 \\ 
 (1.886, 0.233, 0.499) &  0.156 $\pm$ 0.033 & 0.2192 $\pm$ 0.0421 & 0.7114 $\pm$ 0.2044 & 0.2244 & 0.6951 &  0.0163 \\ 
 (2.338, 0.290, 0.521) &  0.154 $\pm$ 0.038 & 0.2197 $\pm$ 0.0308 & 0.7042 $\pm$ 0.2004 & 0.2177 & 0.7110 & -0.0068 \\ 
 (3.098, 0.379, 0.650) &  0.122 $\pm$ 0.042 & 0.2143 $\pm$ 0.0801 & 0.5727 $\pm$ 0.2907 & 0.2017 & 0.6088 & -0.0361 \\ 
   \hline \hline  \hline                                                                                     
 (1.425, 0.162, 0.397) &  0.118 $\pm$ 0.026 & 0.2124 $\pm$ 0.0091 & 0.5591 $\pm$ 0.1273 & 0.1885 & 0.6302 & -0.0711 \\ 
 (1.922, 0.227, 0.418) &  0.178 $\pm$ 0.029 & 0.2310 $\pm$ 0.0406 & 0.7743 $\pm$ 0.1874 & 0.2135 & 0.8379 & -0.0636 \\ 
 (2.354, 0.287, 0.492) &  0.151 $\pm$ 0.036 & 0.2257 $\pm$ 0.0309 & 0.6701 $\pm$ 0.1873 & 0.2170 & 0.6972 & -0.0271 \\ 
 (2.987, 0.390, 0.714) &  0.132 $\pm$ 0.050 & 0.1985 $\pm$ 0.0837 & 0.6654 $\pm$ 0.3802 & 0.2103 & 0.6281 &  0.0373 \\ 
   \hline  \hline  \hline                                                                                    
 (1.823, 0.213, 0.145) &  0.146 $\pm$ 0.027 & 0.2463 $\pm$ 0.0378 & 0.5950 $\pm$ 0.1447 & 0.2438 & 0.6013 & -0.0063 \\ 
 (2.127, 0.255, 0.282) &  0.150 $\pm$ 0.031 & 0.2259 $\pm$ 0.0182 & 0.6664 $\pm$ 0.1477 & 0.2410 & 0.6248 &  0.0416 \\ 
 (2.308, 0.284, 0.490) &  0.163 $\pm$ 0.039 & 0.2257 $\pm$ 0.0309 & 0.7219 $\pm$ 0.2002 & 0.2195 & 0.7425 & -0.0206 \\ 
 (2.406, 0.308, 1.107) &  0.115 $\pm$ 0.054 & 0.1265 $\pm$ 0.0345 & 0.9087 $\pm$ 0.4944 & 0.1235 & 0.9311 & -0.0224 \\ 
   \hline  \hline  \hline                                                                                    
 (1.143, 0.132, 0.096) &  0.282 $\pm$ 0.078 & 0.1956 $\pm$ 0.1028 & 1.4444 $\pm$ 0.8584 & 0.2447 & 1.1524 &  0.2920 \\
 (1.423, 0.170, 0.099) &  0.364 $\pm$ 0.064 & 0.1703 $\pm$ 0.0201 & 2.1366 $\pm$ 0.4529 & 0.2518 & 1.4456 &  0.6910 \\
 (1.902, 0.224, 0.107) &  0.258 $\pm$ 0.078 & 0.1814 $\pm$ 0.0822 & 1.4239 $\pm$ 0.7774 & 0.2359 & 1.0937 &  0.3302 \\
     \hline \hline  \hline                                                                                
 (1.164, 0.132, 0.095) &  0.313 $\pm$ 0.069 & 0.1956 $\pm$ 0.1028 & 1.5999 $\pm$ 0.9132 & 0.2234 & 1.4011 &  0.1988 \\
 (1.439, 0.170, 0.099) &  0.237 $\pm$ 0.070 & 0.1664 $\pm$ 0.0209 & 1.4251 $\pm$ 0.4563 & 0.2432 & 0.9745 &  0.4506 \\
 (1.844, 0.225, 0.107) &  0.299 $\pm$ 0.120 & 0.1787 $\pm$ 0.0844 & 1.6736 $\pm$ 1.0599 & 0.2515 & 1.1889 &  0.4847 \\
      \hline  \hline  \hline                                                                              
 (1.493, 0.177, 0.1)   &  0.331 $\pm$ 0.030 & 0.1575 $\pm$ 0.0341 & 2.1049 $\pm$ 0.4939 & 0.2453 & 1.3493 &  0.7556 \\
